(64, 64)
(123, 104, 0, 0)
(60, 26, 0, 1)
(99, 18, 0, 2)
(39, 116, 0, 3)
(4, 39, 0, 4)
(89, 99, 0, 5)
(29, 86, 0, 6)
(35, 87, 0, 7)
(64, 53, 0, 8)
(11, 102, 0, 9)
(85, 7, 0, 10)
(119, 113, 0, 11)
(4, 7, 0, 12)
(15, 15, 0, 13)
(100, 38, 0, 14)
(11, 39, 0, 15)
(37, 63, 0, 16)
(17, 41, 0, 17)
(123, 35, 0, 18)
(76, 38, 0, 19)
(86, 99, 0, 20)
(84, 15, 0, 21)
(7, 15, 0, 22)
(53, 27, 0, 23)
(27, 122, 0, 24)
(47, 57, 0, 25)
(117, 101, 0, 26)
(40, 86, 0, 27)
(108, 61, 0, 28)
(66, 46, 0, 29)
(122, 48, 0, 30)
(21, 77, 0, 31)
(28, 78, 0, 32)
(49, 81, 0, 33)
(30, 67, 0, 34)
(119, 106, 0, 35)
(47, 34, 0, 36)
(99, 126, 0, 37)
(42, 100, 0, 38)
(10, 57, 0, 39)
(80, 43, 0, 40)
(20, 46, 0, 41)
(19, 38, 0, 42)
(113, 44, 0, 43)
(85, 9, 0, 44)
(86, 117, 0, 45)
(47, 68, 0, 46)
(13, 74, 0, 47)
(122, 123, 0, 48)
(58, 113, 0, 49)
(60, 43, 0, 50)
(94, 115, 0, 51)
(51, 114, 0, 52)
(36, 57, 0, 53)
(33, 56, 0, 54)
(66, 72, 0, 55)
(108, 57, 0, 56)
(43, 123, 0, 57)
(91, 68, 0, 58)
(32, 16, 0, 59)
(4, 48, 0, 60)
(72, 108, 0, 61)
(23, 106, 0, 62)
(80, 19, 0, 63)
(23, 4, 1, 0)
(102, 71, 1, 1)
(74, 45, 1, 2)
(38, 26, 1, 3)
(56, 104, 1, 4)
(8, 15, 1, 5)
(22, 52, 1, 6)
(17, 50, 1, 7)
(47, 88, 1, 8)
(40, 87, 1, 9)
(55, 9, 1, 10)
(75, 70, 1, 11)
(113, 41, 1, 12)
(123, 30, 1, 13)
(114, 38, 1, 14)
(65, 29, 1, 15)
(109, 21, 1, 16)
(22, 35, 1, 17)
(88, 14, 1, 18)
(110, 102, 1, 19)
(81, 98, 1, 20)
(23, 43, 1, 21)
(78, 59, 1, 22)
(61, 116, 1, 23)
(20, 104, 1, 24)
(93, 114, 1, 25)
(106, 75, 1, 26)
(4, 68, 1, 27)
(11, 22, 1, 28)
(2, 54, 1, 29)
(39, 66, 1, 30)
(6, 65, 1, 31)
(77, 2, 1, 32)
(111, 85, 1, 33)
(13, 37, 1, 34)
(53, 4, 1, 35)
(94, 74, 1, 36)
(9, 89, 1, 37)
(118, 23, 1, 38)
(106, 108, 1, 39)
(13, 89, 1, 40)
(96, 55, 1, 41)
(2, 7, 1, 42)
(22, 66, 1, 43)
(5, 51, 1, 44)
(90, 100, 1, 45)
(25, 125, 1, 46)
(59, 63, 1, 47)
(61, 115, 1, 48)
(86, 18, 1, 49)
(55, 34, 1, 50)
(52, 49, 1, 51)
(72, 47, 1, 52)
(123, 23, 1, 53)
(40, 28, 1, 54)
(77, 39, 1, 55)
(54, 19, 1, 56)
(65, 78, 1, 57)
(72, 119, 1, 58)
(41, 58, 1, 59)
(47, 24, 1, 60)
(1, 112, 1, 61)
(27, 67, 1, 62)
(37, 37, 1, 63)
(47, 73, 2, 0)
(33, 35, 2, 1)
(75, 9, 2, 2)
(47, 12, 2, 3)
(10, 54, 2, 4)
(28, 11, 2, 5)
(12, 4, 2, 6)
(54, 61, 2, 7)
(64, 7, 2, 8)
(33, 108, 2, 9)
(102, 32, 2, 10)
(24, 8, 2, 11)
(57, 58, 2, 12)
(31, 14, 2, 13)
(60, 3, 2, 14)
(88, 84, 2, 15)
(59, 109, 2, 16)
(44, 28, 2, 17)
(105, 5, 2, 18)
(14, 77, 2, 19)
(58, 71, 2, 20)
(14, 125, 2, 21)
(75, 28, 2, 22)
(96, 7, 2, 23)
(60, 54, 2, 24)
(104, 45, 2, 25)
(13, 63, 2, 26)
(21, 49, 2, 27)
(25, 18, 2, 28)
(111, 52, 2, 29)
(1, 8, 2, 30)
(125, 22, 2, 31)
(105, 45, 2, 32)
(57, 30, 2, 33)
(69, 25, 2, 34)
(6, 93, 2, 35)
(101, 61, 2, 36)
(116, 127, 2, 37)
(41, 115, 2, 38)
(34, 9, 2, 39)
(108, 8, 2, 40)
(85, 1, 2, 41)
(27, 10, 2, 42)
(26, 76, 2, 43)
(57, 9, 2, 44)
(53, 50, 2, 45)
(9, 37, 2, 46)
